# /datac/proj/2008/wsafr/run.256x60x180.2068-a3b2.4-mp1umn1de-1.g15q0d4/evo.Earth.dat
# Temporal profiles at EARTH
# 
# program = enlil
# version = 2.6
# observatory = gong
# corona = WSA_V1.6.1a
# shift_deg = 8.000
# coordinates = HEEQ
# run = 256x60x180.2068-a3b2.4-mp1umn1de-1.g15q0d4
# 
#-------------------------------------------------------------------------------------------------------------
#     MJD        date   time      R    Lat     Lon       N      T   Vrad   Vthe   Vphi    Brad    Bthe    Bphi
#          yyyy-mm-dd  hh:mm     AU    deg     deg    cm-3     kK   km/s   km/s   km/s      nT      nT      nT
#-------------------------------------------------------------------------------------------------------------
54545.912  2008-03-20  21:53  0.994  -7.19    0.00    2.99   56.5  603.7    0.2    0.3    2.69    0.01   -1.54
54545.914  2008-03-20  21:56  0.994  -7.19    0.00    2.99   56.5  603.6    0.2    0.3    2.69    0.01   -1.54
54545.916  2008-03-20  21:59  0.994  -7.19    0.00    2.99   56.5  603.5    0.2    0.3    2.69    0.01   -1.54
54545.918  2008-03-20  22:02  0.994  -7.19    0.00    2.99   56.5  603.4    0.3    0.3    2.69    0.01   -1.54
54545.920  2008-03-20  22:05  0.994  -7.19    0.00    2.99   56.5  603.3    0.3    0.3    2.69    0.01   -1.54
54545.922  2008-03-20  22:08  0.994  -7.19    0.00    3.00   56.5  603.1    0.3    0.3    2.69    0.01   -1.54
54545.924  2008-03-20  22:11  0.994  -7.19    0.00    3.00   56.4  603.0    0.3    0.3    2.69    0.01   -1.54
54545.927  2008-03-20  22:14  0.994  -7.19    0.00    3.00   56.4  602.9    0.3    0.3    2.69    0.01   -1.54
54545.929  2008-03-20  22:17  0.994  -7.19    0.00    3.00   56.4  602.8    0.3    0.3    2.69    0.01   -1.54
54545.931  2008-03-20  22:20  0.994  -7.19    0.00    3.00   56.4  602.7    0.3    0.3    2.69    0.01   -1.54
54545.933  2008-03-20  22:23  0.994  -7.19    0.00    3.00   56.4  602.6    0.3    0.2    2.69    0.01   -1.54
54545.935  2008-03-20  22:26  0.994  -7.19    0.00    3.00   56.4  602.4    0.3    0.2    2.69    0.01   -1.54
54545.937  2008-03-20  22:29  0.994  -7.19    0.00    3.01   56.4  602.3    0.3    0.2    2.69    0.01   -1.54
54545.939  2008-03-20  22:32  0.994  -7.19    0.00    3.01   56.3  602.2    0.3    0.2    2.69    0.01   -1.54
54545.941  2008-03-20  22:35  0.994  -7.19    0.00    3.01   56.3  602.1    0.3    0.2    2.69    0.01   -1.54
54545.943  2008-03-20  22:38  0.994  -7.19    0.00    3.01   56.3  602.0    0.4    0.2    2.69    0.01   -1.54
54545.945  2008-03-20  22:41  0.994  -7.19    0.00    3.01   56.3  601.9    0.4    0.2    2.69    0.01   -1.54
54545.947  2008-03-20  22:44  0.994  -7.19    0.00    3.01   56.3  601.7    0.4    0.2    2.69    0.01   -1.54
54545.949  2008-03-20  22:47  0.994  -7.19    0.00    3.02   56.3  601.6    0.4    0.2    2.69    0.01   -1.54
54545.951  2008-03-20  22:50  0.994  -7.19    0.00    3.02   56.3  601.5    0.4    0.2    2.69    0.01   -1.54
54545.953  2008-03-20  22:52  0.994  -7.19    0.00    3.02   56.2  601.4    0.4    0.2    2.68    0.01   -1.54
54545.956  2008-03-20  22:55  0.994  -7.19    0.00    3.02   56.2  601.3    0.4    0.2    2.68    0.01   -1.54
54545.958  2008-03-20  22:58  0.994  -7.19    0.00    3.02   56.2  601.1    0.4    0.2    2.68    0.01   -1.54
54545.960  2008-03-20  23:01  0.994  -7.19    0.00    3.02   56.2  601.0    0.4    0.2    2.68    0.01   -1.54
54545.962  2008-03-20  23:04  0.994  -7.19    0.00    3.02   56.2  600.9    0.4    0.2    2.68    0.01   -1.54
54545.964  2008-03-20  23:07  0.994  -7.19    0.00    3.03   56.2  600.8    0.4    0.1    2.68    0.01   -1.54
54545.966  2008-03-20  23:10  0.994  -7.19    0.00    3.03   56.2  600.7    0.4    0.1    2.68    0.01   -1.54
54545.968  2008-03-20  23:13  0.994  -7.19    0.00    3.03   56.2  600.5    0.5    0.1    2.68    0.01   -1.54
54545.970  2008-03-20  23:16  0.994  -7.19    0.00    3.03   56.1  600.4    0.5    0.1    2.68    0.01   -1.54
54545.972  2008-03-20  23:19  0.994  -7.19    0.00    3.03   56.1  600.3    0.5    0.1    2.68    0.01   -1.54
54545.974  2008-03-20  23:22  0.994  -7.19    0.00    3.03   56.1  600.2    0.5    0.1    2.68    0.01   -1.54
54545.976  2008-03-20  23:25  0.994  -7.19    0.00    3.04   56.1  600.1    0.5    0.1    2.68    0.01   -1.54
54545.978  2008-03-20  23:28  0.994  -7.19    0.00    3.04   56.1  599.9    0.5    0.1    2.68    0.01   -1.54
54545.980  2008-03-20  23:31  0.994  -7.19    0.00    3.04   56.1  599.8    0.5    0.1    2.68    0.01   -1.54
54545.982  2008-03-20  23:34  0.994  -7.19    0.00    3.04   56.1  599.7    0.5    0.1    2.68    0.01   -1.54
54545.985  2008-03-20  23:37  0.994  -7.19    0.00    3.04   56.0  599.6    0.5    0.1    2.68    0.01   -1.54
54545.987  2008-03-20  23:40  0.994  -7.19    0.00    3.04   56.0  599.5    0.5    0.1    2.68    0.01   -1.54
54545.989  2008-03-20  23:43  0.994  -7.19    0.00    3.04   56.0  599.3    0.5    0.1    2.68    0.01   -1.54
54545.991  2008-03-20  23:46  0.994  -7.19    0.00    3.05   56.0  599.2    0.6    0.1    2.68    0.01   -1.54
54545.993  2008-03-20  23:49  0.994  -7.19    0.00    3.05   56.0  599.1    0.6    0.0    2.68    0.01   -1.54
54545.995  2008-03-20  23:52  0.994  -7.19    0.00    3.05   56.0  599.0    0.6    0.0    2.68    0.01   -1.54
54545.997  2008-03-20  23:55  0.994  -7.19    0.00    3.05   56.0  598.8    0.6    0.0    2.68    0.01   -1.54
54545.999  2008-03-20  23:58  0.994  -7.19    0.00    3.05   55.9  598.7    0.6    0.0    2.68    0.01   -1.54
54546.001  2008-03-21  00:01  0.994  -7.19    0.00    3.05   55.9  598.6    0.6    0.0    2.68    0.01   -1.54
54546.003  2008-03-21  00:04  0.994  -7.19    0.00    3.05   55.9  598.5    0.6    0.0    2.68    0.01   -1.54
54546.005  2008-03-21  00:07  0.994  -7.19    0.00    3.06   55.9  598.3    0.6    0.0    2.68    0.01   -1.54
54546.007  2008-03-21  00:10  0.994  -7.19    0.00    3.06   55.9  598.2    0.6   -0.0    2.68    0.01   -1.54
54546.009  2008-03-21  00:13  0.994  -7.19    0.00    3.06   55.9  598.1    0.6   -0.0    2.68    0.01   -1.54
54546.011  2008-03-21  00:16  0.994  -7.19    0.00    3.06   55.9  598.0    0.7   -0.0    2.68    0.01   -1.54
54546.013  2008-03-21  00:19  0.994  -7.19    0.00    3.06   55.8  597.9    0.7   -0.0    2.68    0.01   -1.54
54546.016  2008-03-21  00:22  0.994  -7.19    0.00    3.06   55.8  597.7    0.7   -0.0    2.68    0.01   -1.54
54546.018  2008-03-21  00:25  0.994  -7.19    0.00    3.06   55.8  597.6    0.7   -0.0    2.68    0.01   -1.54
54546.020  2008-03-21  00:28  0.994  -7.19    0.00    3.07   55.8  597.5    0.7   -0.1    2.68    0.01   -1.54
54546.022  2008-03-21  00:31  0.994  -7.19    0.00    3.07   55.8  597.4    0.7   -0.1    2.68    0.01   -1.54
54546.024  2008-03-21  00:34  0.994  -7.19    0.00    3.07   55.8  597.2    0.7   -0.1    2.68    0.01   -1.54
54546.026  2008-03-21  00:37  0.994  -7.19    0.00    3.07   55.7  597.1    0.7   -0.1    2.68    0.01   -1.54
54546.028  2008-03-21  00:40  0.994  -7.19    0.00    3.07   55.7  597.0    0.7   -0.1    2.68    0.01   -1.54
54546.030  2008-03-21  00:43  0.994  -7.19    0.00    3.07   55.7  596.9    0.7   -0.1    2.68    0.01   -1.54
54546.032  2008-03-21  00:46  0.994  -7.19    0.00    3.07   55.7  596.8    0.8   -0.1    2.68    0.01   -1.54
54546.034  2008-03-21  00:49  0.994  -7.19    0.00    3.07   55.7  596.6    0.8   -0.1    2.67    0.01   -1.54
54546.036  2008-03-21  00:52  0.994  -7.19    0.00    3.08   55.7  596.5    0.8   -0.1    2.67    0.01   -1.54
54546.038  2008-03-21  00:55  0.994  -7.19    0.00    3.08   55.6  596.4    0.8   -0.1    2.67    0.01   -1.54
54546.040  2008-03-21  00:58  0.994  -7.19    0.00    3.08   55.6  596.3    0.8   -0.1    2.67    0.01   -1.54
54546.042  2008-03-21  01:01  0.994  -7.19    0.00    3.08   55.6  596.1    0.8   -0.1    2.67    0.01   -1.54
54546.044  2008-03-21  01:04  0.994  -7.19    0.00    3.08   55.6  596.0    0.8   -0.1    2.67    0.01   -1.54
54546.047  2008-03-21  01:07  0.994  -7.19    0.00    3.08   55.6  595.9    0.8   -0.1    2.67    0.01   -1.54
54546.049  2008-03-21  01:10  0.994  -7.19    0.00    3.08   55.5  595.8    0.8   -0.2    2.67    0.01   -1.54
54546.051  2008-03-21  01:13  0.994  -7.19    0.00    3.09   55.5  595.6    0.8   -0.2    2.67    0.01   -1.54
54546.053  2008-03-21  01:16  0.994  -7.19    0.00    3.09   55.5  595.5    0.9   -0.2    2.67    0.01   -1.54
54546.055  2008-03-21  01:18  0.994  -7.19    0.00    3.09   55.5  595.4    0.9   -0.2    2.67    0.01   -1.54
54546.057  2008-03-21  01:21  0.994  -7.19    0.00    3.09   55.5  595.3    0.9   -0.2    2.67    0.01   -1.55
54546.059  2008-03-21  01:24  0.994  -7.19    0.00    3.09   55.5  595.1    0.9   -0.2    2.67    0.01   -1.55
54546.061  2008-03-21  01:27  0.994  -7.19    0.00    3.09   55.4  595.0    0.9   -0.2    2.67    0.01   -1.55
